ADJ,4517,6.906
ADP,5675,8.677
ADV,3659,5.594
AUX,3076,4.703
CCONJ,3269,4.998
DET,7583,11.594
INTJ,211,0.323
NOUN,9320,14.249
NUM,322,0.492
PART,1362,2.082
PRON,5850,8.944
PROPN,1910,2.92
PUNCT,9852,15.063
SCONJ,1372,2.098
SYM,2,0.003
VERB,7415,11.337
X,11,0.017
SPACE,3895,
